"date","mst_length"
"01/2001",17.9286863862194
"02/2001",18.9041539176553
"03/2001",16.8620385228604
"04/2001",16.8227645145761
"05/2001",20.0730064389503
"06/2001",19.9434416322709
"07/2001",18.691523687053
"08/2001",18.687552122488
"09/2001",15.9805711610514
"10/2001",17.8182190221568
"11/2001",18.3695974464817
"12/2001",17.9722271681451
"01/2002",19.4764671628994
"02/2002",19.0318981729509
"03/2002",19.0228213362531
"04/2002",19.5332252401773
"05/2002",19.0423543251205
"06/2002",16.8233907466448
"07/2002",15.8830656311705
"08/2002",16.5509347875619
"09/2002",16.4973181381476
"10/2002",16.3876264214694
"11/2002",17.2949311066289
"12/2002",18.1608222386304
"01/2003",17.4606335365348
"02/2003",18.0477471240061
"03/2003",15.0806092183814
"04/2003",17.3988899794756
"05/2003",18.2615374444265
"06/2003",16.9135881065375
"07/2003",17.8845245448713
"08/2003",19.4928937404955
"09/2003",18.1177757464422
"10/2003",17.9506104630846
"11/2003",16.0505960604609
"12/2003",18.6733292035012
"01/2004",18.2799374678116
"02/2004",18.6972245708749
"03/2004",16.9287520638671
"04/2004",16.9465117648943
"05/2004",13.460987441581
"06/2004",16.5508890154374
"07/2004",18.0993609174471
"08/2004",17.4050556539303
"09/2004",18.8466404889343
"10/2004",15.5224725055711
"11/2004",18.4594579809286
"12/2004",18.2841369801687
"01/2005",18.3968214729014
"02/2005",19.0328974490236
"03/2005",17.5121305710988
"04/2005",15.418958345767
"05/2005",19.2053101380925
"06/2005",18.7330617813647
"07/2005",18.5678287392424
"08/2005",18.7327247301257
"09/2005",19.4662554478666
"10/2005",15.5808500600405
"11/2005",19.6690427934793
"12/2005",19.2850244325044
"01/2006",16.1882792464341
"02/2006",17.7766445718693
"03/2006",18.1941132996755
"04/2006",17.4260586010225
"05/2006",14.0812298674679
"06/2006",12.3736185648456
"07/2006",13.0894011101395
"08/2006",17.0757784630744
"09/2006",15.7112449130479
"10/2006",17.0205131930248
"11/2006",17.0073018111458
"12/2006",17.5016685837793
"01/2007",16.8577426427605
"02/2007",13.2619905168198
"03/2007",12.5189112667213
"04/2007",16.0656516831374
"05/2007",17.52242292457
"06/2007",15.0701106369323
"07/2007",13.5860914199342
"08/2007",11.9743045140913
"09/2007",14.9476516415486
"10/2007",15.7124393181036
"11/2007",14.648246238972
"12/2007",14.7652846935036
"01/2008",13.9537614693968
"02/2008",14.3867644998282
"03/2008",13.6352024462281
"04/2008",16.2747322140857
"05/2008",17.6093968784888
"06/2008",16.04270229136
"07/2008",16.3358057216961
"08/2008",15.7057644812207
"09/2008",12.2836802516739
"10/2008",13.0167205394171
"11/2008",12.934018589133
"12/2008",14.856896305165
"01/2009",14.841214936604
"02/2009",15.4836580991757
"03/2009",13.4972335325233
"04/2009",14.8719262004098
"05/2009",15.7657569325341
"06/2009",13.1572580199803
"07/2009",14.7100823742956
"08/2009",14.0676828207447
"09/2009",15.6412335661831
"10/2009",13.7235551532029
"11/2009",13.524887069871
"12/2009",16.1012883755014
"01/2010",14.8324382197144
"02/2010",13.4152852160695
"03/2010",16.4110194886665
"04/2010",14.0574910815023
"05/2010",12.4780327942426
"06/2010",13.3673397153219
"07/2010",15.1579432387571
"08/2010",13.9079499706857
"09/2010",15.5972310173623
"10/2010",15.5028965343461
"11/2010",14.2376926633848
"12/2010",16.8635954269898
"01/2011",17.4081025570711
"02/2011",16.5093951402232
"03/2011",14.9999461931464
"04/2011",14.6777783060656
"05/2011",15.862034051065
"06/2011",15.1189892600666
"07/2011",14.8630423377486
"08/2011",12.4023341161729
"09/2011",12.5526044485113
"10/2011",12.8703557913587
"11/2011",11.9254661766491
"12/2011",14.6477692639721
"01/2012",16.6973928715019
"02/2012",18.0769929360032
"03/2012",14.8558904850152
"04/2012",15.5206971166615
"05/2012",16.145998716965
"06/2012",14.3677298879307
"07/2012",14.0296839973284
"08/2012",16.2360871175295
"09/2012",14.3910650318132
"10/2012",16.6196323789419
"11/2012",16.9210239231553
"12/2012",20.654740338907
"01/2013",18.7703563399125
"02/2013",16.4000744716875
"03/2013",17.9917743584636
"04/2013",16.7263513056825
"05/2013",18.1585617150684
"06/2013",14.7567670635387
"07/2013",17.4833520722314
"08/2013",17.2811038936334
"09/2013",17.0663355724403
"10/2013",18.3564230794135
"11/2013",17.9786078015136
"12/2013",17.4578344063421
"01/2014",16.9120921514817
"02/2014",17.3258612205009
"03/2014",15.7697513307615
"04/2014",18.6189924164232
"05/2014",19.8748806428562
"06/2014",20.1688221918629
"07/2014",18.4767609727317
"08/2014",18.5195344403794
"09/2014",20.1330774352217
"10/2014",16.7664518664103
"11/2014",19.3022337832869
"12/2014",15.7641357785379
"01/2015",16.5992907560565
"02/2015",18.850587799804
"03/2015",18.2579169675286
"04/2015",18.0606513412649
"05/2015",17.9664787969688
"06/2015",15.8829501700972
"07/2015",15.7876297980102
"08/2015",12.6192531039202
"09/2015",14.4919175464871
"10/2015",16.3032705308707
"11/2015",17.2297509841098
"12/2015",15.2800695113245
"01/2016",13.3779128847719
"02/2016",15.0371866233425
"03/2016",16.3985536133422
"04/2016",16.3400311847497
"05/2016",17.2157265251387
"06/2016",12.9494010643706
"07/2016",17.2109481943016
"08/2016",17.5102079904607
"09/2016",14.7809495326341
"10/2016",17.9577730435697
"11/2016",15.480850143505
"12/2016",18.2600061888015
"01/2017",17.9215056859316
"02/2017",18.9881128005582
"03/2017",16.9026661908145
"04/2017",18.2131130713739
"05/2017",17.5550911693632
"06/2017",18.9033666437207
"07/2017",18.6612498429346
"08/2017",17.2102143342102
"09/2017",19.0736953100398
"10/2017",20.5749181179173
"11/2017",18.7984884936635
"12/2017",18.9496155332555
"01/2018",18.5699946165746
"02/2018",13.813617964573
"03/2018",15.8246917668667
"04/2018",16.4753745869079
"05/2018",18.7581347752998
"06/2018",17.6386670385361
"07/2018",18.4060624120068
"08/2018",16.8989006380519
"09/2018",17.9544151751104
"10/2018",16.1306826638991
"11/2018",16.8982880428654
"12/2018",15.2598228754118
"01/2019",16.658957496623
"02/2019",18.0824592413585
"03/2019",16.667866665545
"04/2019",12.8182175919193
